,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-02-27 14:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,1000000.0
2025-02-27 15:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,998911.1835740393
2025-02-27 16:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,997951.7482498776
2025-02-27 17:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,997948.5382432168
2025-02-27 18:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,993335.3128374408
2025-02-27 19:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,987433.4480910714
2025-02-27 20:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,780530.5500509704,987226.8484957106
2025-02-28 14:30:00+00:00,1000332.7988759766,1000332.7988759766,1001299.9956092834,1001299.9956092834,798221.1092638994,992772.5808364386
2025-02-28 15:30:00+00:00,1000017.5679511719,1000017.5679511719,1000068.6248092651,1000068.6248092651,790611.5329528819,989798.2421646859
2025-02-28 16:30:00+00:00,1000240.4731152344,1000240.4731152344,1000939.3481063843,1000939.3481063843,794650.4561924996,990865.3910456864
2025-02-28 17:30:00+00:00,999405.0722285156,999405.0722285156,997676.0633926392,997676.0633926392,784237.1141100515,986615.7880610935
2025-02-28 18:30:00+00:00,999319.301086914,999319.301086914,997341.019870758,997341.019870758,783522.3285030598,988554.007916233
2025-02-28 19:30:00+00:00,1000390.6016298828,1000390.6016298828,1001525.7876167297,1001525.7876167297,792725.3234473101,994294.4806610474
2025-02-28 20:30:00+00:00,1003210.8411699219,1003210.8411699219,1012542.3483200073,1012542.3483200073,813310.1068948105,1000523.676919963
2025-03-03 14:30:00+00:00,997521.8738320313,997521.8738320313,990319.8196563721,990319.8196563721,777278.6104786132,1001684.1834946808
2025-03-03 15:30:00+00:00,997172.4954970704,997172.4954970704,988955.0605354309,988955.0605354309,775392.4795721667,998040.1125999003
2025-03-03 16:30:00+00:00,996120.4384619141,996120.4384619141,984845.4627418518,984845.4627418518,770124.3533435592,999473.8264081898
2025-03-03 17:30:00+00:00,991641.9138173829,991641.9138173829,967351.2258491515,967351.2258491515,749507.0187431126,991616.1759368984
2025-03-03 18:30:00+00:00,992863.6435664063,992863.6435664063,972123.6076812745,972123.6076812745,754742.6434394344,991806.1013309936
2025-03-03 19:30:00+00:00,988064.7898066407,988064.7898066407,953378.08518219,953378.08518219,736043.9908983802,981540.2325293159
2025-03-03 20:30:00+00:00,989555.5911562501,989555.5911562501,959201.5279541017,959201.5279541017,741507.2751826835,986059.0302391545
2025-03-04 14:30:00+00:00,984932.9949462891,984932.9949462891,941144.5115089417,941144.5115089417,725897.9553112367,971542.5776175151
2025-03-04 15:30:00+00:00,985369.271366211,985369.271366211,942848.7162742614,942848.7162742614,727328.8166623793,967915.002590297
2025-03-04 16:30:00+00:00,994451.0694306642,994451.0694306642,978039.7041567994,978039.7041567994,754516.3236092719,972458.6778517566
2025-03-04 17:30:00+00:00,994873.5111406252,994873.5111406252,979639.6882113649,979639.6882113649,755750.7367675594,972820.4277690543
2025-03-04 18:30:00+00:00,998676.6355878907,998676.6355878907,992873.9495333863,992873.9495333863,765961.179971355,978030.0010789189
2025-03-04 19:30:00+00:00,1001529.0219785158,1001529.0219785158,1002316.4087924195,1002316.4087924195,773246.1875454525,981275.6744803579
2025-03-04 20:30:00+00:00,993637.9632382814,993637.9632382814,977616.5062197876,977616.5062197876,754189.8196666127,970497.3637820298
2025-03-05 14:30:00+00:00,993651.2863740236,993651.2863740236,977700.8242282105,977700.8242282105,754254.8723518447,972087.0304139215
2025-03-05 15:30:00+00:00,991987.4949482424,991987.4949482424,972979.1443881226,972979.1443881226,750612.021220176,969999.7235827597
2025-03-05 16:30:00+00:00,995515.3709189454,995515.3709189454,982700.669885559,982700.669885559,758112.3328379206,975753.660522179
2025-03-05 17:30:00+00:00,994562.511388672,994562.511388672,980229.785638733,980229.785638733,756206.0063228629,975680.6328706465
2025-03-05 18:30:00+00:00,997342.5018759768,997342.5018759768,987309.3468722536,987309.3468722536,761668.000470007,982037.6943948825
2025-03-05 19:30:00+00:00,999229.0079150392,999229.0079150392,991947.5448092652,991947.5448092652,765246.4439850233,983511.5332864316
2025-03-05 20:30:00+00:00,997887.8575908204,997887.8575908204,988828.4216555787,988828.4216555787,762839.9908380413,981392.3047223656
2025-03-06 14:30:00+00:00,988794.7682988283,988794.7682988283,968211.9932803345,968211.9932803345,746934.0882819025,976386.2101680527
